date,temp_mean,temp_max,temp_min,precip,et0,humidity_mean,soil_moisture_0_7,soil_moisture_7_28,daylight_hours
2024-07-19,21.522165,29.218,12.318001,0.0,5.7876873,59.931286,0.13970834,0.16154166,14.325691
2024-07-20,17.86175,22.418001,14.018001,0.0,4.7571464,74.68615,0.13949998,0.161,14.302622
2024-07-21,15.751334,20.668001,12.818001,0.3,3.8549523,84.41586,0.14104167,0.161,14.278967
2024-07-22,18.005499,25.218,12.118,0.0,4.8617167,75.52538,0.14137502,0.16100001,14.254752
2024-07-23,22.072168,29.418001,15.368,0.0,5.6614337,56.346745,0.13954164,0.16000003,14.230006
2024-07-24,23.013832,30.918001,17.318,0.0,5.818199,49.072525,0.13579167,0.15954162,14.204761
2024-07-25,21.028416,27.668001,15.218,0.0,5.2517853,58.315235,0.13125001,0.15924995,14.179041
2024-07-26,18.053415,23.668001,12.568001,0.0,4.885044,70.31022,0.1375417,0.15866666,14.152877
2024-07-27,15.2804985,19.818,12.418,0.1,3.5856931,80.82234,0.13470833,0.1585,14.126296
2024-07-28,15.597164,20.918001,12.618,0.2,3.9255843,81.56738,0.13116662,0.158,14.099324
2024-07-29,16.363834,21.818,12.618,0.0,4.3921337,80.963425,0.13395837,0.158,14.071988
2024-07-30,17.622168,23.168001,12.218,0.0,4.507106,82.501854,0.13458335,0.158,14.044314
2024-07-31,17.476332,23.118,14.468,0.0,4.048051,83.54522,0.13624997,0.158,14.016221
2024-08-01,17.77633,23.018,13.418,0.0,4.3281326,80.685555,0.13599999,0.1575417,13.9875145
2024-08-02,18.797167,23.968,13.718,0.0,3.405668,75.26997,0.13599999,0.15700005,13.958219
2024-08-03,19.853416,27.468,15.118,0.0,4.6959214,70.183266,0.13599999,0.15700005,13.92837
2024-08-04,17.188833,23.068,13.368,0.0,4.341997,78.10687,0.13700004,0.15700005,13.898003
2024-08-05,17.305502,23.768,12.718,0.0,4.4907217,77.27108,0.13837501,0.15700005,13.86715
2024-08-06,19.545084,27.368,13.468,0.0,5.004884,66.3683,0.13750003,0.15658331,13.835844
2024-08-07,18.888834,25.668001,14.068001,0.0,4.972711,61.44069,0.13700001,0.15599996,13.804117
2024-08-08,17.411753,23.918001,13.118,0.0,4.2671323,75.673836,0.13700001,0.15599996,13.772001
2024-08-09,17.774248,24.668001,13.268001,0.0,4.385501,75.62332,0.13700001,0.15599996,13.739528
2024-08-10,18.959667,26.168001,12.268001,0.0,4.8694644,67.07873,0.13654162,0.15599996,13.706726
2024-08-11,16.999252,23.868,12.618,0.0,4.123488,77.40072,0.13399997,0.15558332,13.673628
2024-08-12,16.770082,21.918001,12.418,0.0,4.217606,75.7611,0.13616665,0.15499999,13.640262
2024-08-13,17.18467,23.268,10.368,0.0,4.708246,67.63215,0.13599999,0.15499999,13.606653
2024-08-14,17.326332,21.668001,11.418,0.0,4.0442815,75.71958,0.13599999,0.15499999,13.572836
2024-08-15,17.951334,23.968,11.918,0.0,4.556839,72.30872,0.13599999,0.15499999,13.538835
2024-08-16,17.311749,22.718,11.568001,0.0,4.568808,74.39483,0.13599999,0.15499999,13.504676
2024-08-17,18.720081,25.018,13.418,0.0,3.9554336,81.308876,0.13608333,0.15499999,13.470387
2024-08-18,18.409668,23.018,14.418,0.0,4.2169023,76.699135,0.13349997,0.15499999,13.435996
2024-08-19,18.665918,25.518,12.418,0.0,4.904341,64.0617,0.133375,0.15466668,13.4015255
2024-08-20,20.374249,29.068,12.918,0.0,5.4188595,49.656235,0.13616663,0.15474997,13.366887
2024-08-21,18.245085,23.668001,13.318001,0.0,4.389616,68.15364,0.13612498,0.15499999,13.331864
2024-08-22,17.580502,22.618,14.118,0.2,3.7719595,80.941124,0.139375,0.15537499,13.296479
2024-08-23,17.688833,23.668001,13.618,0.5,3.7930727,76.4408,0.14670835,0.15499999,13.260758
2024-08-24,18.743002,24.568,13.918,0.0,4.6218867,70.296135,0.14479166,0.15499999,13.224734
2024-08-25,19.709667,27.768,12.718,0.0,5.000749,61.930492,0.14375,0.15499999,13.188433
2024-08-26,20.822168,29.318,14.368,0.0,5.191468,55.029327,0.14145835,0.15499999,13.151882
2024-08-27,21.274248,28.668001,14.918,0.0,4.910486,56.413692,0.13525003,0.15529166,13.11511
2024-08-28,19.565916,26.018,14.268001,0.0,4.5054336,64.55885,0.13825001,0.15499999,13.078142
2024-08-29,16.947166,22.168001,13.468,0.0,3.7962942,78.69992,0.13695829,0.15499999,13.041005
2024-08-30,16.978418,22.318,12.968,0.0,3.864621,78.81928,0.13683333,0.15458335,13.003723
2024-08-31,17.084667,23.718,12.818001,0.0,3.8246799,81.75666,0.13725002,0.15400003,12.966324
